project_id,industry_type,team_size,seniority_mix_junior,seniority_mix_mid,seniority_mix_senior,budget_planned_usd,budget_planned_inr,budget_actual_usd,budget_actual_inr,duration_planned_weeks,duration_actual_weeks,scope_change_count,client_type,employee_cost_ratio,attrition_events,weekly_burn_rate_variance,outcome_label
DELTA-0001,Energy,19,0.6,0.313,0.087,340296.0,28414716,409939.0,34229906,8,8,1,time_and_material,0.583,2,0.105,at_risk
DELTA-0002,Telecom,15,0.537,0.09,0.373,1448185.0,120923447,1660192.0,138626032,15,17,2,time_and_material,0.553,1,0.076,on_track
DELTA-0003,Manufacturing,58,0.354,0.529,0.117,213562.0,17832427,301347.0,25162474,11,13,3,time_and_material,0.576,4,0.085,at_risk
DELTA-0004,Energy,18,0.335,0.476,0.189,50000.0,4175000,60717.0,5069869,11,13,3,time_and_material,0.587,1,0.078,at_risk
DELTA-0005,Retail,11,0.6,0.156,0.244,605100.0,50525850,834650.0,69693275,13,16,6,outcome_based,0.62,1,0.129,failed
DELTA-0006,EdTech,45,0.546,0.094,0.36,122230.0,10206205,145836.0,12177306,13,14,1,outcome_based,0.567,2,0.127,on_track
DELTA-0007,Manufacturing,30,0.497,0.442,0.061,96631.0,8068688,127633.0,10657355,11,12,3,time_and_material,0.601,2,0.126,at_risk
DELTA-0008,Manufacturing,44,0.348,0.511,0.141,138884.0,11596814,181789.0,15179381,8,9,3,time_and_material,0.632,3,0.057,at_risk
DELTA-0009,Energy,13,0.504,0.171,0.325,132988.0,11104498,191010.0,15949335,8,10,1,time_and_material,0.614,3,0.089,failed
DELTA-0010,Healthcare,26,0.19,0.477,0.333,344911.0,28800068,410875.0,34308062,11,11,0,time_and_material,0.605,1,0.058,on_track
DELTA-0011,Retail,6,0.233,0.504,0.263,50000.0,4175000,55909.0,4668401,10,10,1,fixed_bid,0.597,0,0.071,on_track
DELTA-0012,Energy,23,0.36,0.219,0.421,75361.0,6292643,104475.0,8723662,15,18,3,fixed_bid,0.581,4,0.109,failed
DELTA-0013,Retail,13,0.6,0.245,0.155,270720.0,22605120,325229.0,27156621,15,17,2,outcome_based,0.545,1,0.112,at_risk
DELTA-0014,Retail,6,0.6,0.237,0.163,348240.0,29078040,426846.0,35641641,8,9,3,fixed_bid,0.587,0,0.079,at_risk
DELTA-0015,EdTech,27,0.582,0.368,0.05,354118.0,29568853,507806.0,42401801,9,11,1,time_and_material,0.66,5,0.089,failed
DELTA-0016,Manufacturing,5,0.168,0.479,0.353,97896.0,8174316,105458.0,8805743,11,11,1,fixed_bid,0.585,0,0.129,on_track
